d2_move_id,source,destination,entry_kind,classification,license_status,exclusion_required,source_file_count,source_total_bytes,current_runtime_refs,current_test_refs,current_doc_refs,registry_refs,prior_ledger_members,successor_chain_required,destination_policy_root,transaction_group,plan_origin,rollback_source,rollback_destination
D2-001,data/pallet/_addon_pilot2.log,data/pallet/archive/superseded_runs/_addon_pilot2.log,file,SUPERSEDED_RUN,LOW,false,1,3388,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_addon_pilot2.log,data/pallet/_addon_pilot2.log
D2-002,data/pallet/_addon_pilot3.log,data/pallet/archive/superseded_runs/_addon_pilot3.log,file,SUPERSEDED_RUN,LOW,false,1,2429,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_addon_pilot3.log,data/pallet/_addon_pilot3.log
D2-003,data/pallet/_addon_pilot4.log,data/pallet/archive/superseded_runs/_addon_pilot4.log,file,SUPERSEDED_RUN,LOW,false,1,4282,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_addon_pilot4.log,data/pallet/_addon_pilot4.log
D2-004,data/pallet/_addon_pilot_gen.log,data/pallet/archive/superseded_runs/_addon_pilot_gen.log,file,SUPERSEDED_RUN,LOW,false,1,6167,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_addon_pilot_gen.log,data/pallet/_addon_pilot_gen.log
D2-005,data/pallet/_copy_and_zip_c.py,data/pallet/archive/superseded_runs/_copy_and_zip_c.py,file,SUPERSEDED_RUN,LOW,false,1,2597,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_copy_and_zip_c.py,data/pallet/_copy_and_zip_c.py
D2-006,data/pallet/_copy_c.log,data/pallet/archive/superseded_runs/_copy_c.log,file,SUPERSEDED_RUN,LOW,false,1,2559,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_copy_c.log,data/pallet/_copy_c.log
D2-007,data/pallet/_finalize_c_zip.py,data/pallet/archive/superseded_runs/_finalize_c_zip.py,file,SUPERSEDED_RUN,LOW,false,1,3305,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_finalize_c_zip.py,data/pallet/_finalize_c_zip.py
D2-008,data/pallet/_floor_applied14_render.log,data/pallet/archive/superseded_runs/_floor_applied14_render.log,file,SUPERSEDED_RUN,LOW,false,1,3511,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_floor_applied14_render.log,data/pallet/_floor_applied14_render.log
D2-009,data/pallet/_floor_catalog.png,data/pallet/archive/superseded_runs/_floor_catalog.png,file,SUPERSEDED_RUN,LOW,false,1,999776,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,D2_PLAN_ADDITION,data/pallet/archive/superseded_runs/_floor_catalog.png,data/pallet/_floor_catalog.png
D2-010,data/pallet/_floor_test10_render.log,data/pallet/archive/superseded_runs/_floor_test10_render.log,file,SUPERSEDED_RUN,LOW,false,1,5743,0,0,0,0,,false,data/pallet/archive/superseded_runs,D2_SUPERSEDED_RUNS,STAGE2A_PLAN,data/pallet/archive/superseded_runs/_floor_test10_render.log,data/pallet/_floor_test10_render.log
