relative_path,in_filesystem_residual,in_final_tree_residual,in_plan_pending,entry_kind,depth,files,bytes,plan_destination,plan_category,plan_license_risk,final_tree_classification,prior_ledger,registry_keys,reconciliation_class,reason
data/pallet/_addon_pilot2.log,True,True,True,file,1,1,3388,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_addon_pilot3.log,True,True,True,file,1,1,2429,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_addon_pilot4.log,True,True,True,file,1,1,4282,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_addon_pilot_gen.log,True,True,True,file,1,1,6167,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_copy_and_zip_c.py,True,True,True,file,1,1,2597,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_ONE_OFF_SCRIPT,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_copy_c.log,True,True,True,file,1,1,2559,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_finalize_c_zip.py,True,True,True,file,1,1,3305,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_ONE_OFF_SCRIPT,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_floor_applied14_render.log,True,True,True,file,1,1,3511,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_floor_catalog.png,True,True,False,file,1,1,999776,,,,RESIDUAL_DIAGNOSTIC_IMAGE,,,UNPLANNED_RESIDUAL,archive.csv 에 계획 row 없음
data/pallet/_floor_test10_render.log,True,True,True,file,1,1,5743,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_make_split_zips.log,True,True,True,file,1,1,2580,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_make_split_zips.py,True,True,True,file,1,1,3319,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_ONE_OFF_SCRIPT,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_make_zip_lowmem.log,True,True,True,file,1,1,2700,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_make_zip_lowmem.py,True,True,True,file,1,1,5575,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_ONE_OFF_SCRIPT,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_mask_test10_gen.log,True,True,True,file,1,1,4372,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_mask_test60_gen.log,True,True,True,file,1,1,14822,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_mat_test10_gen.log,True,True,True,file,1,1,4245,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_mat_test10b_gen.log,True,True,True,file,1,1,4139,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_mat_test10e_closeup.log,True,True,True,file,1,1,1387,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_mat_test10e_gen.log,True,True,True,file,1,1,3760,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_material_compare_run.log,True,True,True,file,1,1,6918,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_ram_test.log,True,True,True,file,1,1,1337,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_ram_test.py,True,True,True,file,1,1,3405,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_ONE_OFF_SCRIPT,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_read_stability_test.py,True,True,True,file,1,1,763,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_ONE_OFF_SCRIPT,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_rebuild_part7.log,True,True,True,file,1,1,278,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_rebuild_part7_nocache.py,True,True,True,file,1,1,5136,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_ONE_OFF_SCRIPT,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_rebuild_parts.log,True,True,True,file,1,1,303,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_rebuild_parts.py,True,True,True,file,1,1,2459,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_ONE_OFF_SCRIPT,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_repack.log,True,True,True,file,1,1,3468,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_repack.py,True,True,True,file,1,1,1231,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_ONE_OFF_SCRIPT,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_repack_retry.log,True,True,True,file,1,1,921,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_LOG,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
data/pallet/_repack_retry.py,True,True,True,file,1,1,5211,data/pallet/archive/superseded_runs,SUPERSEDED_RUN,LOW,RESIDUAL_ONE_OFF_SCRIPT,,,ACTIONABLE,plan destination data/pallet/archive/superseded_runs
