idx,frame_id,diagnostic_mode,stage,path,present,decode_ok,decode_error,sha256,content_sha256,width,height,area,all_black,rgb_sha256,within_frame_duplicate_group,cross_frame_duplicate_frame_count,cross_frame_duplicate_class
0,f0000,clean-static,m0,mask\f0000_m0.png,True,True,,069c493c73d7b9b3d67dcc8a23ebb255b18640693df75cb55799c0f1b15a9b3d,3529409d39ae737cc7bdfffca8ea05a4027f4bb7a39cd395f62c8a2b7c2a2463,640,480,1471,False,6dfcbf309ec83fcb32e2de91164d6516eb67cc062f1b17ece518906997e9b7ea,m0+m1+m2+m3+m4 [expected_no_op],,
0,f0000,clean-static,m1,mask\f0000_m1.png,True,True,,bd34da77fd2e5ea5a9cc63511eb3ae64061033a87e8101fdea89ec1bae64808d,3529409d39ae737cc7bdfffca8ea05a4027f4bb7a39cd395f62c8a2b7c2a2463,640,480,1471,False,6dfcbf309ec83fcb32e2de91164d6516eb67cc062f1b17ece518906997e9b7ea,m0+m1+m2+m3+m4 [expected_no_op],,
0,f0000,clean-static,m2,mask\f0000_m2.png,True,True,,aec49978ec66e7a12ceb0bb3659c7da2b11b19288b545d31d25eb7d8ebd259c5,3529409d39ae737cc7bdfffca8ea05a4027f4bb7a39cd395f62c8a2b7c2a2463,640,480,1471,False,6dfcbf309ec83fcb32e2de91164d6516eb67cc062f1b17ece518906997e9b7ea,m0+m1+m2+m3+m4 [expected_no_op],,
0,f0000,clean-static,m3,mask\f0000_m3.png,True,True,,fbd438562f31bfcc9dbd8c23c09a3b3814a1451cbfc2675e961cb55cc764a00c,3529409d39ae737cc7bdfffca8ea05a4027f4bb7a39cd395f62c8a2b7c2a2463,640,480,1471,False,6dfcbf309ec83fcb32e2de91164d6516eb67cc062f1b17ece518906997e9b7ea,m0+m1+m2+m3+m4 [expected_no_op],,
0,f0000,clean-static,m4,mask\f0000_m4.png,True,True,,45900e71984ced82fdd26b5e399f7c5d0d12c0b0b6e5a3674285f4b32efe7029,3529409d39ae737cc7bdfffca8ea05a4027f4bb7a39cd395f62c8a2b7c2a2463,640,480,1471,False,6dfcbf309ec83fcb32e2de91164d6516eb67cc062f1b17ece518906997e9b7ea,m0+m1+m2+m3+m4 [expected_no_op],,
1,f0001,clean-static,m0,mask\f0001_m0.png,True,True,,9054047982d6c1b3c71007f6d2b8f1db814eab8d015aa1b2e2d46340dbcc03ad,82df256fd365f8c989c46f9a14f17f2df5c347029f08f8fa537b26042e90f18e,720,480,1360,False,06f384d14956d19fa0377a643f757be502c78b8633c7e1cb6dc9d7a070c894ec,m0+m1+m2+m3+m4 [expected_no_op],,
1,f0001,clean-static,m1,mask\f0001_m1.png,True,True,,463ec6e4fc9788cbbdc5324130ebc3b7edda40dc9bd4d5f115d1206e7725668f,82df256fd365f8c989c46f9a14f17f2df5c347029f08f8fa537b26042e90f18e,720,480,1360,False,06f384d14956d19fa0377a643f757be502c78b8633c7e1cb6dc9d7a070c894ec,m0+m1+m2+m3+m4 [expected_no_op],,
1,f0001,clean-static,m2,mask\f0001_m2.png,True,True,,d3aa7bc4be2feaf652fce1ffaaa42fab8f2f91b6be82f199e75fae7e6e95f2fe,82df256fd365f8c989c46f9a14f17f2df5c347029f08f8fa537b26042e90f18e,720,480,1360,False,06f384d14956d19fa0377a643f757be502c78b8633c7e1cb6dc9d7a070c894ec,m0+m1+m2+m3+m4 [expected_no_op],,
1,f0001,clean-static,m3,mask\f0001_m3.png,True,True,,c987207b8fc157fdbdd284bd504172548d9a88e9aac6f1144455d3b48a4cdfce,82df256fd365f8c989c46f9a14f17f2df5c347029f08f8fa537b26042e90f18e,720,480,1360,False,06f384d14956d19fa0377a643f757be502c78b8633c7e1cb6dc9d7a070c894ec,m0+m1+m2+m3+m4 [expected_no_op],,
1,f0001,clean-static,m4,mask\f0001_m4.png,True,True,,c887c780a339f702354deff9c9c6a905248fb687379c9b1a284caa29f11d9f98,82df256fd365f8c989c46f9a14f17f2df5c347029f08f8fa537b26042e90f18e,720,480,1360,False,06f384d14956d19fa0377a643f757be502c78b8633c7e1cb6dc9d7a070c894ec,m0+m1+m2+m3+m4 [expected_no_op],,
2,f0002,clean-static,m0,mask\f0002_m0.png,True,True,,d3810f9fcd76d146d466d79ddc49f54afafc4c9bc8043240d762246fa4fd1739,dd9186195055366482b1adc47fdda75ccd1e436f4becdf41e258c9fbdaf877b8,640,480,132814,False,3859dd725bc0728c1cf70851dffb9e097cfca4891d72c485eb6e68d17c27ae0d,m0+m1+m2+m3+m4 [expected_no_op],,
2,f0002,clean-static,m1,mask\f0002_m1.png,True,True,,9ce163f1c78c177cc00a8c95e9f3dc04fba4b5295901475cb96c5e46289be96d,dd9186195055366482b1adc47fdda75ccd1e436f4becdf41e258c9fbdaf877b8,640,480,132814,False,3859dd725bc0728c1cf70851dffb9e097cfca4891d72c485eb6e68d17c27ae0d,m0+m1+m2+m3+m4 [expected_no_op],,
2,f0002,clean-static,m2,mask\f0002_m2.png,True,True,,6b908f6af4f141683b91ff176587a5e431e7ad7c5c040acac8881945540f75f1,dd9186195055366482b1adc47fdda75ccd1e436f4becdf41e258c9fbdaf877b8,640,480,132814,False,3859dd725bc0728c1cf70851dffb9e097cfca4891d72c485eb6e68d17c27ae0d,m0+m1+m2+m3+m4 [expected_no_op],,
2,f0002,clean-static,m3,mask\f0002_m3.png,True,True,,9d6820d4f8541e7f5db80d49bdbccdcbb46fb4c769688cb616e92c7c3bb9de3a,dd9186195055366482b1adc47fdda75ccd1e436f4becdf41e258c9fbdaf877b8,640,480,132814,False,3859dd725bc0728c1cf70851dffb9e097cfca4891d72c485eb6e68d17c27ae0d,m0+m1+m2+m3+m4 [expected_no_op],,
2,f0002,clean-static,m4,mask\f0002_m4.png,True,True,,bdbe15a41fbb3a5dfbff79f027825effe67794455c63083edb303d39526b05f9,dd9186195055366482b1adc47fdda75ccd1e436f4becdf41e258c9fbdaf877b8,640,480,132814,False,3859dd725bc0728c1cf70851dffb9e097cfca4891d72c485eb6e68d17c27ae0d,m0+m1+m2+m3+m4 [expected_no_op],,
3,f0003,clean-static,m0,mask\f0003_m0.png,True,True,,bf3ac7041d9da577c804262d14f51eedad9febd509ebdd0a25f4ade096dca3eb,49b4079da8155b5559ddaef278f2d221279dbac5f5f171f32197090d614c8d16,960,540,227891,False,a274fe7e5d1742cfceb57f66188992da881684fd70486ad257dbaa78eccacfaa,m0+m1+m2+m3+m4 [expected_no_op],,
3,f0003,clean-static,m1,mask\f0003_m1.png,True,True,,ad8b82743f7a0fb6a4819693e5cc7d7192e1931ba0b6d1e04017d573361f41ee,49b4079da8155b5559ddaef278f2d221279dbac5f5f171f32197090d614c8d16,960,540,227891,False,a274fe7e5d1742cfceb57f66188992da881684fd70486ad257dbaa78eccacfaa,m0+m1+m2+m3+m4 [expected_no_op],,
3,f0003,clean-static,m2,mask\f0003_m2.png,True,True,,0a1fa00d34644df64ba5ad8db5b6218732a4e5fa4f82ed6978aa475f30ed2bd1,49b4079da8155b5559ddaef278f2d221279dbac5f5f171f32197090d614c8d16,960,540,227891,False,a274fe7e5d1742cfceb57f66188992da881684fd70486ad257dbaa78eccacfaa,m0+m1+m2+m3+m4 [expected_no_op],,
3,f0003,clean-static,m3,mask\f0003_m3.png,True,True,,514f7b5e98746161c0e1e1929708ff83691feb3de931de611f1e651b0bcd776c,49b4079da8155b5559ddaef278f2d221279dbac5f5f171f32197090d614c8d16,960,540,227891,False,a274fe7e5d1742cfceb57f66188992da881684fd70486ad257dbaa78eccacfaa,m0+m1+m2+m3+m4 [expected_no_op],,
3,f0003,clean-static,m4,mask\f0003_m4.png,True,True,,46274e521ecb29c561084c639085004c137d60808c9476ac2ba520502b629c18,49b4079da8155b5559ddaef278f2d221279dbac5f5f171f32197090d614c8d16,960,540,227891,False,a274fe7e5d1742cfceb57f66188992da881684fd70486ad257dbaa78eccacfaa,m0+m1+m2+m3+m4 [expected_no_op],,
4,f0004,clean-static,m0,mask\f0004_m0.png,True,True,,1e3d55054c95ffc2821d851855a30c099cffb8188b69d2c844bc7df96251d39b,54511a495c6ba99abb5f75c71c073c5107741d8933c27603d4d18bac840b88c5,960,540,10478,False,bbf545a70ced91edc663de9181794e009286c1853a45aa9f92c8b5703411403f,m0+m1+m2+m3+m4 [expected_no_op],,
4,f0004,clean-static,m1,mask\f0004_m1.png,True,True,,9a0b1f8aabdb3089cd3570f697d0e720e56f8061694884e2b15d87632dbefa1b,54511a495c6ba99abb5f75c71c073c5107741d8933c27603d4d18bac840b88c5,960,540,10478,False,bbf545a70ced91edc663de9181794e009286c1853a45aa9f92c8b5703411403f,m0+m1+m2+m3+m4 [expected_no_op],,
4,f0004,clean-static,m2,mask\f0004_m2.png,True,True,,08f1074714485d5ac0ca4f21a18a7d21621857b5eee1d9c592f96d5c9c5121e5,54511a495c6ba99abb5f75c71c073c5107741d8933c27603d4d18bac840b88c5,960,540,10478,False,bbf545a70ced91edc663de9181794e009286c1853a45aa9f92c8b5703411403f,m0+m1+m2+m3+m4 [expected_no_op],,
4,f0004,clean-static,m3,mask\f0004_m3.png,True,True,,b54ca17677f0295ac000f7f1adaba2da2cc4014d5b4703027d3610384932c0da,54511a495c6ba99abb5f75c71c073c5107741d8933c27603d4d18bac840b88c5,960,540,10478,False,bbf545a70ced91edc663de9181794e009286c1853a45aa9f92c8b5703411403f,m0+m1+m2+m3+m4 [expected_no_op],,
4,f0004,clean-static,m4,mask\f0004_m4.png,True,True,,fd68629635ba03bf824d2873612cf42582b9e70bce9736cfae907391c2330faa,54511a495c6ba99abb5f75c71c073c5107741d8933c27603d4d18bac840b88c5,960,540,10478,False,bbf545a70ced91edc663de9181794e009286c1853a45aa9f92c8b5703411403f,m0+m1+m2+m3+m4 [expected_no_op],,
5,f0005,clean-static,m0,mask\f0005_m0.png,True,True,,0602e9e26421836013ec0affa2aedcd8539ba8f105e7483b1bef691b9b631f90,0f7fbba966fa649a98bde6d614d13b5fe3dccc364fadc6ebf2c965352cd5e887,640,480,5417,False,1371bfbbf35a3bc566e5b2cb7edec27289c1adae7fec3f67c99ceeaa1b1c0e14,m0+m1+m2+m3+m4 [expected_no_op],,
5,f0005,clean-static,m1,mask\f0005_m1.png,True,True,,f6c7d713fbbb43fb03e26000335b65f9ae29ed4eb1fc581958f785dfba68b82f,0f7fbba966fa649a98bde6d614d13b5fe3dccc364fadc6ebf2c965352cd5e887,640,480,5417,False,1371bfbbf35a3bc566e5b2cb7edec27289c1adae7fec3f67c99ceeaa1b1c0e14,m0+m1+m2+m3+m4 [expected_no_op],,
5,f0005,clean-static,m2,mask\f0005_m2.png,True,True,,2512489282d0e03db2ca6960b099eb1b61df7134aed8c2664473938eaa419f28,0f7fbba966fa649a98bde6d614d13b5fe3dccc364fadc6ebf2c965352cd5e887,640,480,5417,False,1371bfbbf35a3bc566e5b2cb7edec27289c1adae7fec3f67c99ceeaa1b1c0e14,m0+m1+m2+m3+m4 [expected_no_op],,
