package,dataset,evidence_level,evidence_label,package_entries,dataset_files,package_uncompressed_bytes,dataset_bytes,path_match,size_match,crc_match,sha_match,classification,stripped_prefix,bundle_top_levels,next_verification_cost_bytes,recommendation
archive/packages/background_sources/modular_buildings_industrial_area..zip,archive/packages,0,POSSIBLE_MATCH,29,3,29569627,157408367,False,False,,,POSSIBLE_MATCH,,textures,0,구조가 다르다 — 중복으로 취급하지 않는다
archive/packages/background_sources/modular_buildings_industrial_area.zip,archive/packages,0,POSSIBLE_MATCH,29,3,29569627,157408367,False,False,,,POSSIBLE_MATCH,,textures,0,구조가 다르다 — 중복으로 취급하지 않는다
archive/packages/background_sources/parking_lot.zip,archive/packages,0,POSSIBLE_MATCH,44,3,103254269,157408367,False,False,,,POSSIBLE_MATCH,,textures,0,구조가 다르다 — 중복으로 취급하지 않는다
archive/training_data_v4_emptywood/training_data_v4_emptywood.zip,archive/training_data_v4,0,POSSIBLE_MATCH,6600,329,2041906837,133302744,False,False,,,PACKAGE_BUNDLE,,train_batch_000;train_batch_001;train_batch_002;train_batch_003;train_batch_004;train_batch_005;train_batch_006;train_batch_007,0,구조가 다르다 — 중복으로 취급하지 않는다
archive/training_data_v4_split/training_data_v4_split.zip,archive/training_data,0,POSSIBLE_MATCH,12000,34704,3702088039,6435540124,False,False,,,PACKAGE_BUNDLE,,train_batch_000;train_batch_001;train_batch_002;train_batch_003;train_batch_004;train_batch_005;train_batch_006;train_batch_007,0,구조가 다르다 — 중복으로 취급하지 않는다
pallet.zip,archive/train_palletobj_v3,0,POSSIBLE_MATCH,60022,40002,16679343532,10682796255,False,False,,,PACKAGE_BUNDLE,,train_palletobj_v1;train_palletobj_v2,0,구조가 다르다 — 중복으로 취급하지 않는다
test_blender_v64.zip,archive/test_blender_v64,3,STRUCTURAL_MATCH,6000,6000,1786012650,1786012650,True,True,,,PACKAGE_STRUCTURAL_MATCH,,overlay,1786012650,CRC 전수 대조(LEVEL 4)로 내용 동등성 확정 후에만 중복 취급
test_blender_v65.zip,archive/test_blender_v65,3,STRUCTURAL_MATCH,300,300,86945235,86945235,True,True,,,PACKAGE_STRUCTURAL_MATCH,,overlay,86945235,CRC 전수 대조(LEVEL 4)로 내용 동등성 확정 후에만 중복 취급
test_blender_v68.zip,archive/test_blender_v68,3,STRUCTURAL_MATCH,3000,3000,909147448,909147448,True,True,,,PACKAGE_STRUCTURAL_MATCH,,overlay,909147448,CRC 전수 대조(LEVEL 4)로 내용 동등성 확정 후에만 중복 취급
test_blender_v69.zip,archive/test_blender_v69,3,STRUCTURAL_MATCH,12000,12000,3662471008,3662471008,True,True,,,PACKAGE_STRUCTURAL_MATCH,,overlay,3662471008,CRC 전수 대조(LEVEL 4)로 내용 동등성 확정 후에만 중복 취급
test_blender_v70.zip,archive/test_blender_v70,3,STRUCTURAL_MATCH,3000,3000,915545347,915545347,True,True,,,PACKAGE_STRUCTURAL_MATCH,,overlay,915545347,CRC 전수 대조(LEVEL 4)로 내용 동등성 확정 후에만 중복 취급
test_indoor_v1.zip,archive/test_indoor_v1,3,STRUCTURAL_MATCH,3000,3000,588469993,588469993,True,True,,,PACKAGE_STRUCTURAL_MATCH,,overlay,588469993,CRC 전수 대조(LEVEL 4)로 내용 동등성 확정 후에만 중복 취급
train_4pallet_mask_v1.zip,archive/train_4pallet_mask_v1,3,STRUCTURAL_MATCH,40040,40040,9845542580,9845542580,True,True,,,PACKAGE_STRUCTURAL_MATCH,,logs;mask;overlay,9845542580,CRC 전수 대조(LEVEL 4)로 내용 동등성 확정 후에만 중복 취급
train_palletobj_addon_v1.zip,archive/train_palletobj_addon_v1,3,STRUCTURAL_MATCH,24002,24002,5752182582,5752182582,True,True,,,PACKAGE_STRUCTURAL_MATCH,,mask;overlay,5752182582,CRC 전수 대조(LEVEL 4)로 내용 동등성 확정 후에만 중복 취급
train_palletobj_v1 (2).zip,archive/train_palletobj_v1,3,STRUCTURAL_MATCH,30012,30012,8337383185,8337383185,True,True,,,PACKAGE_STRUCTURAL_MATCH,train_palletobj_v1,logs;overlay,8337383185,CRC 전수 대조(LEVEL 4)로 내용 동등성 확정 후에만 중복 취급
train_palletobj_v1.zip,,0,N/A (archive open 실패),0,,0,,,,,,CORRUPT_PACKAGE,,,0,archive/packages/corrupt/ 로 보존 이동 후보. 삭제 금지.
train_palletobj_v2 (2).zip,archive/train_palletobj_v2,3,STRUCTURAL_MATCH,30010,30010,8341960347,8341960347,True,True,,,PACKAGE_STRUCTURAL_MATCH,train_palletobj_v2,logs;overlay,8341960347,CRC 전수 대조(LEVEL 4)로 내용 동등성 확정 후에만 중복 취급
train_palletobj_v2.zip,archive/train_palletobj_v2,3,STRUCTURAL_MATCH,30010,30010,8341960347,8341960347,True,True,,,PACKAGE_STRUCTURAL_MATCH,train_palletobj_v2,logs;overlay,8341960347,CRC 전수 대조(LEVEL 4)로 내용 동등성 확정 후에만 중복 취급
train_palletobj_v3.zip,archive/train_palletobj_v3,3,STRUCTURAL_MATCH,40002,40002,10682796255,10682796255,True,True,,,PACKAGE_STRUCTURAL_MATCH,,batch_000;batch_001;batch_002;batch_003;batch_004;batch_005;batch_006;batch_007,10682796255,CRC 전수 대조(LEVEL 4)로 내용 동등성 확정 후에만 중복 취급
trunc_addon_v1.zip,archive/trunc_addon_v1,0,POSSIBLE_MATCH,24010,24015,5544142126,5546660278,False,False,,,PACKAGE_BUNDLE,,audit_eye;mask;overlay,0,구조가 다르다 — 중복으로 취급하지 않는다
