move_id,cohort,source,destination,entry_kind,classification,evidence,confidence,file_count,total_bytes,full_hash_required,estimated_hash_read_bytes,code_reference_count,test_reference_count,license_status,duplicate_evidence_level,rollback_source,rollback_destination,status,blocker
D1-001,D1A_PACKAGES,data/pallet/pallet.zip,data/pallet/archive/packages/dataset_bundles/pallet.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,"central directory 서명 확보. 추출본과 path+size 일치(LEVEL 3), CRC 미확정",MED,1,16637698137,no (이동 트랜잭션이 hash-mode all 로 SHA256 대조),33275396274,0,0,dataset 라이선스 상속 (NoAI 여부는 dataset 판정 참조),LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시),data/pallet/archive/packages/dataset_bundles/pallet.zip,data/pallet/pallet.zip,SAFE_MOVE_CANDIDATE,
D1-002,D1A_PACKAGES,data/pallet/test_blender_v64.zip,data/pallet/archive/packages/dataset_bundles/test_blender_v64.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,"central directory 서명 확보. 추출본과 path+size 일치(LEVEL 3), CRC 미확정",MED,1,1781592200,no (이동 트랜잭션이 hash-mode all 로 SHA256 대조),3563184400,0,0,dataset 라이선스 상속 (NoAI 여부는 dataset 판정 참조),LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시),data/pallet/archive/packages/dataset_bundles/test_blender_v64.zip,data/pallet/test_blender_v64.zip,SAFE_MOVE_CANDIDATE,
D1-003,D1A_PACKAGES,data/pallet/test_blender_v65.zip,data/pallet/archive/packages/dataset_bundles/test_blender_v65.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,"central directory 서명 확보. 추출본과 path+size 일치(LEVEL 3), CRC 미확정",MED,1,86723195,no (이동 트랜잭션이 hash-mode all 로 SHA256 대조),173446390,0,0,dataset 라이선스 상속 (NoAI 여부는 dataset 판정 참조),LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시),data/pallet/archive/packages/dataset_bundles/test_blender_v65.zip,data/pallet/test_blender_v65.zip,SAFE_MOVE_CANDIDATE,
D1-004,D1A_PACKAGES,data/pallet/test_blender_v68.zip,data/pallet/archive/packages/dataset_bundles/test_blender_v68.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,"central directory 서명 확보. 추출본과 path+size 일치(LEVEL 3), CRC 미확정",MED,1,906940260,no (이동 트랜잭션이 hash-mode all 로 SHA256 대조),1813880520,0,0,dataset 라이선스 상속 (NoAI 여부는 dataset 판정 참조),LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시),data/pallet/archive/packages/dataset_bundles/test_blender_v68.zip,data/pallet/test_blender_v68.zip,SAFE_MOVE_CANDIDATE,
D1-005,D1A_PACKAGES,data/pallet/test_blender_v69.zip,data/pallet/archive/packages/dataset_bundles/test_blender_v69.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,"central directory 서명 확보. 추출본과 path+size 일치(LEVEL 3), CRC 미확정",MED,1,3653659280,no (이동 트랜잭션이 hash-mode all 로 SHA256 대조),7307318560,0,0,dataset 라이선스 상속 (NoAI 여부는 dataset 판정 참조),LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시),data/pallet/archive/packages/dataset_bundles/test_blender_v69.zip,data/pallet/test_blender_v69.zip,SAFE_MOVE_CANDIDATE,
D1-006,D1A_PACKAGES,data/pallet/test_blender_v70.zip,data/pallet/archive/packages/dataset_bundles/test_blender_v70.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,"central directory 서명 확보. 추출본과 path+size 일치(LEVEL 3), CRC 미확정",MED,1,913350083,no (이동 트랜잭션이 hash-mode all 로 SHA256 대조),1826700166,0,0,dataset 라이선스 상속 (NoAI 여부는 dataset 판정 참조),LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시),data/pallet/archive/packages/dataset_bundles/test_blender_v70.zip,data/pallet/test_blender_v70.zip,SAFE_MOVE_CANDIDATE,
D1-007,D1A_PACKAGES,data/pallet/test_indoor_v1.zip,data/pallet/archive/packages/dataset_bundles/test_indoor_v1.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,"central directory 서명 확보. 추출본과 path+size 일치(LEVEL 3), CRC 미확정",MED,1,587372076,no (이동 트랜잭션이 hash-mode all 로 SHA256 대조),1174744152,0,0,dataset 라이선스 상속 (NoAI 여부는 dataset 판정 참조),LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시),data/pallet/archive/packages/dataset_bundles/test_indoor_v1.zip,data/pallet/test_indoor_v1.zip,SAFE_MOVE_CANDIDATE,
D1-008,D1A_PACKAGES,data/pallet/train_4pallet_mask_v1.zip,data/pallet/archive/packages/dataset_bundles/train_4pallet_mask_v1.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,"central directory 서명 확보. 추출본과 path+size 일치(LEVEL 3), CRC 미확정",MED,1,9675248635,no (이동 트랜잭션이 hash-mode all 로 SHA256 대조),19350497270,0,0,dataset 라이선스 상속 (NoAI 여부는 dataset 판정 참조),LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시),data/pallet/archive/packages/dataset_bundles/train_4pallet_mask_v1.zip,data/pallet/train_4pallet_mask_v1.zip,SAFE_MOVE_CANDIDATE,
D1-009,D1A_PACKAGES,data/pallet/train_palletobj_addon_v1.zip,data/pallet/archive/packages/dataset_bundles/train_palletobj_addon_v1.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,"central directory 서명 확보. 추출본과 path+size 일치(LEVEL 3), CRC 미확정",MED,1,5648950621,no (이동 트랜잭션이 hash-mode all 로 SHA256 대조),11297901242,0,0,dataset 라이선스 상속 (NoAI 여부는 dataset 판정 참조),LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시),data/pallet/archive/packages/dataset_bundles/train_palletobj_addon_v1.zip,data/pallet/train_palletobj_addon_v1.zip,SAFE_MOVE_CANDIDATE,
D1-010,D1A_PACKAGES,data/pallet/train_palletobj_v1 (2).zip,data/pallet/archive/packages/dataset_bundles/train_palletobj_v1 (2).zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,"central directory 서명 확보. 추출본과 path+size 일치(LEVEL 3), CRC 미확정",MED,1,8316876455,no (이동 트랜잭션이 hash-mode all 로 SHA256 대조),16633752910,0,0,dataset 라이선스 상속 (NoAI 여부는 dataset 판정 참조),LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시),data/pallet/archive/packages/dataset_bundles/train_palletobj_v1 (2).zip,data/pallet/train_palletobj_v1 (2).zip,SAFE_MOVE_CANDIDATE,
