move_id,cohort,source,destination,file_count,total_bytes,sha256_count,dependency_status,code_reference_count,current_registry_keys,required_config_changes,required_test_changes,required_doc_changes,license_files,status,blocker
S2B-A01,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_wood,data/pallet/assets/materials/pallet/textures_wood,27,314933639,27,OK,6,pallet_material_root,(registry 만),tests/test_pallet_data_paths_unit.py RegistryContentRules,"_docs/data_pallet_layout.md, _docs/blender_mcp_onboarding.md, _docs/dataset_license_ledger.md, data/pallet/README.md 외",,PLANNED,
S2B-B02,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_floor,data/pallet/assets/materials/floor/textures_floor,59,674932794,59,OK,5,floor_material_root,(registry 만),tests/test_pallet_data_paths_unit.py RegistryContentRules,"_docs/data_pallet_layout.md, _docs/blender_mcp_onboarding.md, _docs/dataset_license_ledger.md, data/pallet/README.md 외",LICENSE.txt;SOURCES.txt,PLANNED,
S2B-H03,B1_REFERENCE_MATERIALS,data/pallet/archive/trunc_addon_v1_pilot,data/pallet/reference/golden_overlay/trunc_addon_v1_pilot,1210,283026342,1210,OK,9,golden_overlay_reference,(registry 만),tests/test_overlay_archive_trunc_style.py (golden fixture 경로) + integration_tests,"_docs/data_pallet_layout.md, _docs/blender_mcp_onboarding.md, _docs/dataset_license_ledger.md, data/pallet/README.md 외",,PLANNED,
S2B-I04,B1_REFERENCE_MATERIALS,data/pallet/real_data,data/pallet/reference/real_images/real_data,1924,154480494,1924,OK,4,real_data_root,(registry 만),(없음),"_docs/data_pallet_layout.md, _docs/blender_mcp_onboarding.md, _docs/dataset_license_ledger.md, data/pallet/README.md 외",,PLANNED,
S2B-C05,B2_LIGHTING_MODELS,data/pallet/hdri,data/pallet/assets/lighting/hdri/library,33,199001533,33,OK,9,hdri_root,config/synthetic/blender.yaml lighting.hdri_dir; blender_train_4000.yaml 동일,(없음),"_docs/data_pallet_layout.md, _docs/blender_mcp_onboarding.md, _docs/dataset_license_ledger.md, data/pallet/README.md 외",LICENSE.txt;SOURCES.txt,PLANNED,
S2B-D06,B2_LIGHTING_MODELS,data/pallet/models_usd,data/pallet/assets/pallets/models/models_usd,21,79612205,21,OK,9,pallet_model_roots[0],config/synthetic/blender.yaml assets.pallet_source_dir; blender_train_4000.yaml; isaac_sim.yaml usd_cache_dir,(없음),"_docs/data_pallet_layout.md, _docs/blender_mcp_onboarding.md, _docs/dataset_license_ledger.md, data/pallet/README.md 외",,PLANNED,
S2B-E07,B2_LIGHTING_MODELS,data/pallet/pallets_v2_add,data/pallet/assets/pallets/source/pallets_v2_add,14,4938262,14,OK,7,pallet_model_roots[1] + pallet_measurements,(registry 만),(없음),"_docs/data_pallet_layout.md, _docs/blender_mcp_onboarding.md, _docs/dataset_license_ledger.md, data/pallet/README.md 외",LICENSE.txt;SOURCES.txt,PLANNED,
S2B-F08,B3_SCENE_ASSETS,data/pallet/background,data/pallet/assets/scenes/backgrounds/background,77,291054721,77,OK,6,background_root,config/synthetic/blender.yaml background.assets.parking_lot.filepath; blender_train_4000.yaml,(없음),"_docs/data_pallet_layout.md, _docs/blender_mcp_onboarding.md, _docs/dataset_license_ledger.md, data/pallet/README.md 외",modular_buildings_industrial_area/license.txt;parking_lot/license.txt,PLANNED,
S2B-G09,B3_SCENE_ASSETS,data/pallet/distractors,data/pallet/assets/distractors/library,1161,1958754064,1161,BLOCKED_BLEND_ABSOLUTE,8,distractor_root + distractor_manifest,(BLOCKED — 변경 없음),(없음),"_docs/data_pallet_layout.md, _docs/blender_mcp_onboarding.md, _docs/dataset_license_ledger.md, data/pallet/README.md 외",indoor/LICENSE.txt;indoor/SOURCES.txt;large/LICENSE.txt;large/SOURCES.txt;medium/LICENSE.txt;medium/SOURCES.txt;road/LICENSE.txt;road/SOURCES.txt;small/LICENSE.txt;small/SOURCES.txt,BLOCKED,production .blend 에 이 폴더를 가리키는 절대경로 이미지 참조 356건 (BLOCKED_ABSOLUTE). 이동 시 씬 텍스처가 끊기고 .blend rewrite 는 금지됨
S2B-J10,B4_PRODUCTION_SCENE,data/pallet/blender_scene,data/pallet/assets/scenes/production/blender_scene,171,3118739784,171,OK,9,production_scene + production_scene_textures + experimental_scene,(BLOCKED — 변경 없음),(없음),"_docs/data_pallet_layout.md, _docs/blender_mcp_onboarding.md, _docs/dataset_license_ledger.md, data/pallet/README.md 외",,BLOCKED,"blend 감사: BLOCKED_ABSOLUTE=356, MISSING_CURRENT=1 (factory_yard_2k.hdr 가 다른 워크스페이스 C:\Users\User\Documents\... 를 가리킴). §3 이동 조건(BLOCKED_ABSOLUTE=0, MISSING_CURRENT=0) 미충족"
