usable_id,diagnostic_mode,overlay_rel,overlay_w,overlay_h,rgb_w,rgb_h,size_matches_rgb,panel_drawn,legend_drawn,differs_from_rgb,overlay_ok,cargo_visible_pixels,context_visible_pixel_ratio,explicit_occluder_visible_pixels,f_explicit_target,f_explicit_actual_lowres,abs_target_error,runtime_s
16,clean-static,all/f0016_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,5.080384016036987
17,cargo-only,all/f0017_overlay.png,960,540,960,540,True,True,True,True,True,723,0.0,0,0.0,,,11.198763847351074
18,context-rich,all/f0018_overlay.png,560,560,560,560,True,True,True,True,True,0,1.0,0,0.0,,,18.193697214126587
19,controlled-occlusion,all/f0019_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,5186,0.2577233925098761,0.3020312040035325,0.044307811493656424,78.7885172367096
20,clean-static,all/f0020_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,5.427725076675415
21,cargo-only,all/f0021_overlay.png,960,540,960,540,True,True,True,True,True,56,0.0,0,0.0,,,10.307001829147339
22,context-rich,all/f0022_overlay.png,960,540,960,540,True,True,True,True,True,2590,1.0,0,0.0,,,26.078797578811646
23,controlled-occlusion,all/f0023_overlay.png,560,560,560,560,True,True,True,True,True,20,1.0,323,0.23646578345592215,0.21397379912663755,0.022491984329284592,46.8624632358551
24,context-rich,all/f0024_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,0,0.0,,,15.743005752563477
25,controlled-occlusion,all/f0025_overlay.png,720,480,720,480,True,True,True,True,True,47,1.0,218,0.12697100401716757,0.13544668587896252,0.008475681861794954,67.9326982498169
26,clean-static,all/f0026_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,4.962241172790527
27,cargo-only,all/f0027_overlay.png,960,540,960,540,True,True,True,True,True,75,0.0,0,0.0,,,11.502297163009644
28,context-rich,all/f0028_overlay.png,960,540,960,540,True,True,True,True,True,1366,1.0,0,0.0,,,30.484049320220947
29,controlled-occlusion,all/f0029_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,5081,0.3343477429268502,0.30638297872340425,0.027964764203445958,58.10186314582825
30,clean-static,all/f0030_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,5.597433567047119
31,cargo-only,all/f0031_overlay.png,720,480,720,480,True,True,True,True,True,53,0.0,0,0.0,,,13.713423013687134
32,context-rich,all/f0032_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,0,0.0,,,15.563700914382935
33,controlled-occlusion,all/f0033_overlay.png,960,540,960,540,True,True,True,True,True,78,1.0,4409,0.19524197566885365,0.17571059431524547,0.019531381353608185,40.419278383255005
34,context-rich,all/f0034_overlay.png,560,560,560,560,True,True,True,True,True,0,1.0,0,0.0,,,64.19899535179138
35,controlled-occlusion,all/f0035_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,2655,0.3350807686779613,0.3695395513577332,0.03445878267977187,56.78265595436096
36,clean-static,all/f0036_overlay.png,960,540,960,540,True,True,True,True,True,0,0.0,0,0.0,,,7.359556436538696
37,cargo-only,all/f0037_overlay.png,960,540,960,540,True,True,True,True,True,237,0.0,0,0.0,,,10.140554189682007
38,context-rich,all/f0038_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,0,0.0,,,13.971361875534058
39,controlled-occlusion,all/f0039_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,6220,0.43973900871519656,0.34590129209913156,0.09383771661606499,36.23778963088989
40,clean-static,all/f0040_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,5.8327062129974365
41,cargo-only,all/f0041_overlay.png,960,540,960,540,True,True,True,True,True,511,0.0,0,0.0,,,11.044853687286377
42,context-rich,all/f0042_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,0,0.0,,,29.77388620376587
43,controlled-occlusion,all/f0043_overlay.png,720,480,720,480,True,True,True,True,True,0,1.0,368,0.38540231592339785,0.36507936507936506,0.020322950844032794,25.83742046356201
44,context-rich,all/f0044_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,0,0.0,,,45.64616012573242
45,controlled-occlusion,all/f0045_overlay.png,560,560,560,560,True,True,True,True,True,0,1.0,805,0.3290793167680911,0.2718168812589413,0.05726243550914978,134.66317987442017
46,clean-static,all/f0046_overlay.png,960,540,960,540,True,True,True,True,True,0,0.0,0,0.0,,,6.401973009109497
47,cargo-only,all/f0047_overlay.png,640,480,640,480,True,True,True,True,True,36,0.0,0,0.0,,,13.545822858810425
48,context-rich,all/f0048_overlay.png,960,540,960,540,True,True,True,True,True,0,1.0,0,0.0,,,17.56681489944458
49,controlled-occlusion,all/f0049_overlay.png,960,540,960,540,True,True,True,True,True,128,1.0,2710,0.4495132565574447,0.3848009650180941,0.0647122915393506,88.9477105140686
50,clean-static,all/f0050_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,5.05950665473938
51,cargo-only,all/f0051_overlay.png,640,480,640,480,True,True,True,True,True,82,0.0,0,0.0,,,8.823350429534912
52,context-rich,all/f0052_overlay.png,720,480,720,480,True,True,True,True,True,0,1.0,0,0.0,,,23.68178367614746
53,controlled-occlusion,all/f0053_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,2897,0.10291382724138247,0.02275960170697013,0.08015422553441234,25.628403663635254
54,context-rich,all/f0054_overlay.png,720,480,720,480,True,True,True,True,True,37,1.0,0,0.0,,,33.23235535621643
55,controlled-occlusion,all/f0055_overlay.png,960,540,960,540,True,True,True,True,True,36,1.0,454,0.21177009451692813,0.21774193548387097,0.005971840966942837,44.21930146217346
56,clean-static,all/f0056_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,5.882018566131592
57,cargo-only,all/f0057_overlay.png,720,480,720,480,True,True,True,True,True,448,0.0,0,0.0,,,10.2461256980896
58,context-rich,all/f0058_overlay.png,640,480,640,480,True,True,True,True,True,527,1.0,0,0.0,,,40.96663808822632
59,controlled-occlusion,all/f0059_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,8024,0.1971867501066144,0.11533458592282121,0.0818521641837932,120.51667213439941
60,clean-static,all/f0060_overlay.png,960,540,960,540,True,True,True,True,True,0,0.0,0,0.0,,,6.424189567565918
61,cargo-only,all/f0061_overlay.png,640,480,640,480,True,True,True,True,True,16,0.0,0,0.0,,,9.785876035690308
62,context-rich,all/f0062_overlay.png,960,540,960,540,True,True,True,True,True,0,1.0,0,0.0,,,16.29448676109314
63,controlled-occlusion,all/f0063_overlay.png,720,480,720,480,True,True,True,True,True,0,1.0,730,0.20139072164260288,0.192090395480226,0.009300326162376887,42.69664478302002
64,context-rich,all/f0064_overlay.png,560,560,560,560,True,True,True,True,True,910,1.0,0,0.0,,,39.83318734169006
65,controlled-occlusion,all/f0065_overlay.png,960,540,960,540,True,True,True,True,True,46,1.0,991,0.12240496389104516,0.11666666666666667,0.005738297224378491,46.383506774902344
66,clean-static,all/f0066_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,5.309341192245483
67,cargo-only,all/f0067_overlay.png,720,480,720,480,True,True,True,True,True,63,0.0,0,0.0,,,12.56630277633667
68,context-rich,all/f0068_overlay.png,960,540,960,540,True,True,True,True,True,514,1.0,0,0.0,,,26.03650403022766
69,controlled-occlusion,all/f0069_overlay.png,640,480,640,480,True,True,True,True,True,212,1.0,732,0.18870592109118398,0.1553653719552337,0.033340549135950276,63.77988004684448
70,clean-static,all/f0070_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,5.241750955581665
71,cargo-only,all/f0071_overlay.png,640,480,640,480,True,True,True,True,True,29,0.0,0,0.0,,,9.416067361831665
72,context-rich,all/f0072_overlay.png,720,480,720,480,True,True,True,True,True,901,1.0,0,0.0,,,21.048949480056763
73,controlled-occlusion,all/f0073_overlay.png,720,480,720,480,True,True,True,True,True,259,1.0,895,0.14832489796501136,0.14675324675324675,0.001571651211764613,38.56828999519348
74,context-rich,all/f0074_overlay.png,560,560,560,560,True,True,True,True,True,0,1.0,0,0.0,,,40.12762451171875
75,controlled-occlusion,all/f0075_overlay.png,960,540,960,540,True,True,True,True,True,0,0.6666666666666666,7053,0.3891861039916183,0.3869209809264305,0.0022651230651877796,41.52044677734375
76,clean-static,all/f0076_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,5.388730525970459
77,cargo-only,all/f0077_overlay.png,640,480,640,480,True,True,True,True,True,344,0.0,0,0.0,,,10.458597660064697
78,context-rich,all/f0078_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,0,0.0,,,16.55573582649231
79,controlled-occlusion,all/f0079_overlay.png,720,480,720,480,True,True,True,True,True,0,1.0,488,0.17523444273776634,0.08755760368663594,0.0876768390511304,165.1424958705902
80,clean-static,all/f0080_overlay.png,960,540,960,540,True,True,True,True,True,0,0.0,0,0.0,,,7.034565687179565
81,cargo-only,all/f0081_overlay.png,640,480,640,480,True,True,True,True,True,1758,0.0,0,0.0,,,8.626052618026733
82,context-rich,all/f0082_overlay.png,560,560,560,560,True,True,True,True,True,27,1.0,0,0.0,,,28.075509309768677
83,controlled-occlusion,all/f0083_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,514,0.18002557219038512,0.22344827586206897,0.043422703671683854,23.436354637145996
84,context-rich,all/f0084_overlay.png,720,480,720,480,True,True,True,True,True,1746,1.0,0,0.0,,,22.57228446006775
85,controlled-occlusion,all/f0085_overlay.png,960,540,960,540,True,True,True,True,True,0,1.0,333,0.37570717134901954,0.3684210526315789,0.007286118717440615,31.92033624649048
86,clean-static,all/f0086_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,5.134209871292114
87,cargo-only,all/f0087_overlay.png,640,480,640,480,True,True,True,True,True,173,0.0,0,0.0,,,9.162724733352661
88,context-rich,all/f0088_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,0,0.0,,,19.516594409942627
89,controlled-occlusion,all/f0089_overlay.png,960,540,960,540,True,True,True,True,True,0,1.0,3422,0.4108783468383854,0.294835115193495,0.11604323164489044,47.08680844306946
90,clean-static,all/f0090_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,7.821319341659546
91,cargo-only,all/f0091_overlay.png,640,480,640,480,True,True,True,True,True,1207,0.0,0,0.0,,,10.072762966156006
92,context-rich,all/f0092_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,0,0.0,,,17.127723217010498
93,controlled-occlusion,all/f0093_overlay.png,720,480,720,480,True,True,True,True,True,0,1.0,512,0.3743046620576926,0.2607502287282708,0.11355443332942178,90.19211077690125
94,context-rich,all/f0094_overlay.png,960,540,960,540,True,True,True,True,True,0,1.0,0,0.0,,,13.301585674285889
95,controlled-occlusion,all/f0095_overlay.png,960,540,960,540,True,True,True,True,True,0,1.0,829,0.326120944012687,0.28,0.04612094401268696,97.66198921203613
96,clean-static,all/f0096_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,5.2754786014556885
97,cargo-only,all/f0097_overlay.png,960,540,960,540,True,True,True,True,True,318,0.0,0,0.0,,,11.580811262130737
98,context-rich,all/f0098_overlay.png,640,480,640,480,True,True,True,True,True,16,1.0,0,0.0,,,27.141937971115112
99,controlled-occlusion,all/f0099_overlay.png,720,480,720,480,True,True,True,True,True,29,0.6666666666666666,229,0.3255214460816687,0.372972972972973,0.047451526891304274,95.6318883895874
