proposal_index,accepted,reject_reason,pallet_type,scene_preset,exposure_ev,elev_bin,elevation_deg,azimuth_bin,azimuth_deg,v_target,proj_size_bin,proj_size_ratio,proj_size_feasible_lower,proj_size_bin_lo,proj_size_bin_hi,n_feasible_bins,bin_feasible,aspect,image_width,image_height,fx_mode,fx,f_target_bin,f_target,position_mode,cargo_on,camera_distance_spec_m,camera_distance_target_m,v_probe,trunc_mode,occluder
0,1,,Pallet_1,indoor,-1.309374430434615,0,1.8906359324371176,9,278.37543892866626,6,1,0.156965784428883,0.0780708051459932,0.1,0.2,5,1,4:3,640,480,random,454.2301390312331,0,0.0,,0,4.9737466945457145,4.9737466945457145,8,vertical,
1,1,,Pallet_3,random-mix,-2.34060647426929,1,3.0118661598944736,10,304.2386833045296,6,0,0.09924155284735374,0.09256904861111113,0.0,0.1,5,1,3:2,720,480,anchor,605.9065,1,0.1808514796366549,near-pallet,1,9.327650158144364,9.327650158144364,6,lateral,
2,1,,Pallet_2,outdoor-day,-1.7430166930280893,2,8.832546273291056,0,16.68765760269877,4,4,0.7452613785244281,0.06078523080110779,0.6,1.0,5,1,4:3,640,480,random,353.65952466099077,0,0.0,,1,0.8156229821201634,0.8156229821201634,4,lateral,
3,1,,Pallet_0,outdoor-night,0.10963331067865845,5,52.90708284128163,7,233.36879570913365,8,3,0.5505824081795355,0.06942678645833335,0.4,0.6,5,1,16:9,960,540,anchor,605.9065,2,0.20730570984469082,near-camera,0,1.2609699370506304,1.2609699370506304,6,none,traffic_barricade_01
4,1,,Pallet_2,indoor,-0.8158114156933998,1,4.38273518067479,11,335.54243935223815,4,2,0.2575001502880079,0.059646612324599356,0.2,0.4,5,1,16:9,960,540,random,520.5522530146852,3,0.42654963055699835,near-pallet,0,2.3163719422255102,2.3163719422255102,4,vertical,korean_fire_extinguisher_01
5,1,,Pallet_0,random-mix,-2.352474091920226,4,29.298291692910084,3,117.56090233382764,5,1,0.13283157731072695,0.08890410616705903,0.1,0.2,5,1,4:3,640,480,random,517.2602540628889,1,0.16490947222742564,near-camera,1,6.692994841060243,6.692994841060243,5,lateral,
6,1,,Pallet_3,outdoor-night,-0.09885589621933732,3,23.31947423444457,5,164.41731574362905,5,3,0.4504371815606962,0.10881417351597855,0.4,0.6,4,1,1:1,560,560,random,553.9630651722543,0,0.0,,0,2.4157458125227147,2.4157458125227147,5,vertical,
7,1,,Pallet_1,outdoor-day,-2.2807744923587348,6,60.28642245884304,6,196.86125318958054,7,4,0.9008782028473707,0.10414017968750003,0.6,1.0,4,1,4:3,640,480,anchor,605.9065,2,0.2629645435228422,near-pallet,1,1.1559851193907036,1.1559851193907036,4,lateral,
8,1,,Pallet_0,outdoor-day,-2.1830626412249985,0,2.962271122006416,2,86.07101995614792,4,0,0.08450913319032577,0.06189279151864776,0.0,0.1,5,1,4:3,640,480,random,360.1035142903142,1,0.19537258492039322,near-pallet,0,7.323799118759979,7.323799118759979,8,vertical,fire_hydrant
9,1,,Pallet_3,outdoor-night,-0.2571124691485571,6,75.53812935812665,1,37.75681361912371,8,2,0.2141057731795568,0.05124842453883762,0.2,0.4,5,1,3:2,720,480,random,335.44423334511896,0,0.0,,1,2.3936031139085094,2.3936031139085094,8,none,
