artifact,representation,path,exists,license_class,restricted,ledger_entry,exclusion_entry,release_leak_before,required_action,reason
training_data,extracted_dataset,data/pallet/archive/training_data,True,NoAI baked (공개 불가),True,yes,archive/training_data,False,변경 없음,"ledger:25,70 — 2026-07-24 재-bake 이전 렌더에 NoAI 목재가 baked"
training_data_v4,extracted_dataset,data/pallet/archive/training_data_v4,True,NoAI baked (공개 불가),True,yes,archive/training_data_v4,False,변경 없음,"ledger:25,70 — 2026-07-24 재-bake 이전 렌더에 NoAI 목재가 baked"
training_data_v4_split,extracted_dataset,data/pallet/archive/training_data_v4_split,True,NoAI baked (공개 불가),True,no,archive/training_data_v4_split,False,변경 없음,"ledger:25,70 — 2026-07-24 재-bake 이전 렌더에 NoAI 목재가 baked"
training_data_v4_split,source_package,data/pallet/archive/training_data_v4_split/training_data_v4_split.zip,True,NoAI baked (공개 불가),True,no,archive/training_data_v4_split,False,변경 없음,같은 NoAI 산출물의 압축본 — 추출본만 제외하면 ZIP 경로로 새어 나간다
train_4pallet_mask_v1,extracted_dataset,data/pallet/archive/train_4pallet_mask_v1,True,NoAI baked (공개 불가),True,yes,archive/train_4pallet_mask_v1,False,변경 없음,"ledger:25,70 — 2026-07-24 재-bake 이전 렌더에 NoAI 목재가 baked"
train_4pallet_mask_v1,source_package,data/pallet/train_4pallet_mask_v1.zip,True,NoAI baked (공개 불가),True,yes,(없음),True,exclusion 추가,같은 NoAI 산출물의 압축본 — 추출본만 제외하면 ZIP 경로로 새어 나간다
pallet.zip,package_bundle,data/pallet/pallet.zip,True,bundle — 구성 dataset 라이선스 상속,False,no,(없음),False,구성 dataset 이 전부 redistributable — attribution(B5) 만 필요,"bundle 구성: ['train_palletobj_v1', 'train_palletobj_v2'] / NoAI 포함: 없음"
training_data_v4_split_GREYBUG,extracted_dataset,data/pallet/archive/training_data_v4_split_GREYBUG,True,UNKNOWN_LICENSE (NoAI 상속 미확정),True,no,(없음),True,exclusion 추가 (UNKNOWN_LICENSE 는 보수적으로 제외),이름상 v4 계열 파생이나 NoAI 상속을 라벨 metadata 로 확인하지 않았다 — 확정 전에는 일반 archive 로 분류하지 않고 제외 유지
training_data_v4_split_bg1bak,extracted_dataset,data/pallet/archive/training_data_v4_split_bg1bak,True,UNKNOWN_LICENSE (NoAI 상속 미확정),True,no,(없음),True,exclusion 추가 (UNKNOWN_LICENSE 는 보수적으로 제외),이름상 v4 계열 파생이나 NoAI 상속을 라벨 metadata 로 확인하지 않았다 — 확정 전에는 일반 archive 로 분류하지 않고 제외 유지
training_data_v4_emptywood,extracted_dataset,data/pallet/archive/training_data_v4_emptywood,True,UNKNOWN_LICENSE (NoAI 상속 미확정),True,no,(없음),True,exclusion 추가 (UNKNOWN_LICENSE 는 보수적으로 제외),이름상 v4 계열 파생이나 NoAI 상속을 라벨 metadata 로 확인하지 않았다 — 확정 전에는 일반 archive 로 분류하지 않고 제외 유지
training_data_v4_pilotA,extracted_dataset,data/pallet/archive/training_data_v4_pilotA,True,UNKNOWN_LICENSE (NoAI 상속 미확정),True,no,(없음),True,exclusion 추가 (UNKNOWN_LICENSE 는 보수적으로 제외),이름상 v4 계열 파생이나 NoAI 상속을 라벨 metadata 로 확인하지 않았다 — 확정 전에는 일반 archive 로 분류하지 않고 제외 유지
isaac_assets,source_asset_tree,data/pallet/isaac_assets,True,NVIDIA EULA (재배포 불가),True,yes,isaac_assets,False,변경 없음,ledger B6
_noai_quarantine_usd,quarantine,data/pallet/archive/_noai_quarantine_usd,True,NoAI (공개 불가),True,yes,archive/_noai_quarantine_usd,False,변경 없음,ledger B1
background_sources,source_package,data/pallet/archive/packages/background_sources,True,CC-BY 4.0 원본 패키지,True,no,archive/packages/background_sources,False,변경 없음,해제본이 릴리스 대상 — 원본까지 넣으면 같은 자산을 두 번 배포
train_palletobj_v1,extracted_dataset,data/pallet/archive/train_palletobj_v1,True,CC0/CC-BY (attribution 필요),False,yes,(없음),False,변경 없음 (B5 attribution 만),ledger:29 palletobj 계열 — attribution 후 사용 가능. 과잉 제외하지 않는다
train_palletobj_v2,extracted_dataset,data/pallet/archive/train_palletobj_v2,True,CC0/CC-BY (attribution 필요),False,no,(없음),False,변경 없음 (B5 attribution 만),ledger:29 palletobj 계열 — attribution 후 사용 가능. 과잉 제외하지 않는다
train_palletobj_v3,extracted_dataset,data/pallet/archive/train_palletobj_v3,True,CC0/CC-BY (attribution 필요),False,no,(없음),False,변경 없음 (B5 attribution 만),ledger:29 palletobj 계열 — attribution 후 사용 가능. 과잉 제외하지 않는다
train_palletobj_addon_v1,extracted_dataset,data/pallet/archive/train_palletobj_addon_v1,True,CC0/CC-BY (attribution 필요),False,yes,(없음),False,변경 없음 (B5 attribution 만),ledger:29 palletobj 계열 — attribution 후 사용 가능. 과잉 제외하지 않는다
trunc_addon_v1,extracted_dataset,data/pallet/archive/trunc_addon_v1,True,CC0/CC-BY (attribution 필요),False,yes,(없음),False,변경 없음 (B5 attribution 만),ledger:29 palletobj 계열 — attribution 후 사용 가능. 과잉 제외하지 않는다
