move_id,cohort,source,destination,entry_kind,classification,evidence_level,confidence,file_count,total_bytes,current_runtime_refs,current_test_refs,current_doc_refs,license_status,exclusion_status,rollback_role,full_hash_required,estimated_hash_read_bytes,status,blocker
D1-001,D1B_CORRUPT,data/pallet/train_palletobj_v1.zip,data/pallet/archive/packages/corrupt/train_palletobj_v1.zip,file,CORRUPT_PACKAGE,n/a (central directory 부재),HIGH,1,4529431174,0,0,21,dataset 라이선스 상속,not excluded,,yes (hash-mode all),9058862348,CORRUPT_MOVE_READY,삭제 금지 — 보존 이동만
D1-002,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/_sandbox_palletobj_production.blend,(이동 없음),file,ACTIVE_RUNTIME,고유 SHA256,HIGH,1,157014946,1,0,1,derived (blend 내부 baked 자산 상속),not excluded,active,yes,314029892,KEEP_ACTIVE,registry active — 이동은 별도 승인 필요
D1-003,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/_sandbox_parking_lot_check.blend,(이동 없음),file,COLD_ARCHIVE,고유 SHA256,MED,1,137789005,2,0,0,derived (blend 내부 baked 자산 상속),not excluded,,yes,275578010,BLOCKED_REFERENCE,CURRENT 경로 참조 살아있음 — runtime 2 / test 0. 이동 전 registry 키 등록 + 참조 전환 선행 필요 (plan_reference_hits.csv kind=path_current)
D1-004,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/_sandbox_parking_lot_check.blend1,data/pallet/archive/legacy_scenes/blender_backups/_sandbox_parking_lot_check.blend1,file,COLD_ARCHIVE,고유 SHA256,MED,1,137789046,0,0,0,derived (blend 내부 baked 자산 상속),not excluded,,yes,275578092,READY,
D1-005,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.POSTBAKE_CLEAN_20260724_191902.blend,data/pallet/archive/legacy_scenes/snapshots/synth_data_scene.POSTBAKE_CLEAN_20260724_191902.blend,file,COLD_ARCHIVE,DUPLICATE_FILE_EXACT: assets/scenes/production/blender_scene/synth_data_scene.REBAKE_WIP.blend,MED,1,245967843,0,0,0,derived (blend 내부 baked 자산 상속),not excluded,,yes,491935686,READY,
D1-006,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.PREBAKE_BACKUP_20260724_181050.blend,data/pallet/archive/legacy_scenes/snapshots/synth_data_scene.PREBAKE_BACKUP_20260724_181050.blend,file,COLD_ARCHIVE,고유 SHA256,MED,1,245475973,0,0,0,derived (blend 내부 baked 자산 상속),not excluded,,yes,490951946,READY,
D1-007,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.REBAKE_WIP.blend,data/pallet/archive/legacy_scenes/snapshots/synth_data_scene.REBAKE_WIP.blend,file,COLD_ARCHIVE,DUPLICATE_FILE_EXACT: assets/scenes/production/blender_scene/synth_data_scene.POSTBAKE_CLEAN_20260724_191902.blend,MED,1,245967843,0,0,0,derived (blend 내부 baked 자산 상속),not excluded,,yes,491935686,READY,
D1-008,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.REBAKE_WIP.blend1,data/pallet/archive/legacy_scenes/blender_backups/synth_data_scene.REBAKE_WIP.blend1,file,COLD_ARCHIVE,고유 SHA256,MED,1,246594559,0,0,0,derived (blend 내부 baked 자산 상속),not excluded,,yes,493189118,READY,
D1-009,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,(이동 없음),file,ROLLBACK_CRITICAL,DUPLICATE_FILE_EXACT: assets/scenes/production/blender_scene/synth_data_scene_portable_candidate_20260729.blend1,HIGH,1,358917479,1,0,0,derived (blend 내부 baked 자산 상속),not excluded,rollback,yes,717834958,KEEP_ROLLBACK,registry rollback — 이동은 별도 승인 필요
D1-010,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend1,data/pallet/archive/legacy_scenes/blender_backups/synth_data_scene.blend1,file,COLD_ARCHIVE,고유 SHA256,MED,1,245862236,0,0,0,derived (blend 내부 baked 자산 상속),not excluded,,yes,491724472,READY,
D1-011,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/synth_data_scene12.blend,data/pallet/archive/legacy_scenes/snapshots/synth_data_scene12.blend,file,COLD_ARCHIVE,고유 SHA256,MED,1,257666344,0,0,0,derived (blend 내부 baked 자산 상속),not excluded,,yes,515332688,READY,
D1-012,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/synth_data_scene12.blend1,data/pallet/archive/legacy_scenes/blender_backups/synth_data_scene12.blend1,file,COLD_ARCHIVE,고유 SHA256,MED,1,265089900,0,0,0,derived (blend 내부 baked 자산 상속),not excluded,,yes,530179800,READY,
D1-013,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/synth_data_scene121.blend,data/pallet/archive/legacy_scenes/snapshots/synth_data_scene121.blend,file,COLD_ARCHIVE,고유 SHA256,MED,1,265089901,0,0,0,derived (blend 내부 baked 자산 상속),not excluded,,yes,530179802,READY,
D1-014,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/synth_data_scene_indoor.blend,data/pallet/archive/legacy_scenes/snapshots/synth_data_scene_indoor.blend,file,COLD_ARCHIVE,고유 SHA256,MED,1,245480818,0,0,0,derived (blend 내부 baked 자산 상속),not excluded,,yes,490961636,READY,
D1-015,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/synth_data_scene_portable.blend,(이동 없음),file,ROLLBACK_CRITICAL,DUPLICATE_FILE_EXACT: assets/scenes/production/blender_scene/synth_data_scene_portable_stage2c2_candidate.blend1,HIGH,1,358898907,1,0,0,derived (blend 내부 baked 자산 상속),not excluded,rollback,yes,717797814,KEEP_ROLLBACK,registry rollback — 이동은 별도 승인 필요
D1-016,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/synth_data_scene_portable_candidate_20260729.blend1,(이동 없음),file,ROLLBACK_CRITICAL,DUPLICATE_FILE_EXACT: assets/scenes/production/blender_scene/synth_data_scene.blend,HIGH,1,358917479,0,0,0,derived (blend 내부 baked 자산 상속),not excluded,rollback,yes,717834958,KEEP_ROLLBACK,registry rollback — 이동은 별도 승인 필요
D1-017,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/synth_data_scene_portable_stage2c2.blend,(이동 없음),file,ACTIVE_RUNTIME,고유 SHA256,HIGH,1,358898838,1,0,4,derived (blend 내부 baked 자산 상속),not excluded,active,yes,717797676,KEEP_ACTIVE,registry active — 이동은 별도 승인 필요
D1-018,D1D_BLEND_BACKUPS,data/pallet/assets/scenes/production/blender_scene/synth_data_scene_portable_stage2c2_candidate.blend1,(이동 없음),file,ROLLBACK_CRITICAL,DUPLICATE_FILE_EXACT: assets/scenes/production/blender_scene/synth_data_scene_portable.blend,HIGH,1,358898907,0,0,0,derived (blend 내부 baked 자산 상속),not excluded,rollback,yes,717797814,KEEP_ROLLBACK,registry rollback — 이동은 별도 승인 필요
D1-019,D1A_PACKAGES,data/pallet/pallet.zip,data/pallet/archive/packages/dataset_bundles/pallet.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시) — duplicates/ 로 보내지 않음,MED,1,16637698137,0,0,17,dataset 라이선스 상속,not excluded,,yes,33275396274,READY,
D1-020,D1A_PACKAGES,data/pallet/test_blender_v64.zip,data/pallet/archive/packages/dataset_bundles/test_blender_v64.zip,file,PACKAGE_STRUCTURAL_MATCH 또는 PACKAGE_BUNDLE,LEVEL 3 STRUCTURAL_MATCH (LEVEL4 CRC 미실시) — duplicates/ 로 보내지 않음,MED,1,1781592200,0,0,15,dataset 라이선스 상속,not excluded,,yes,3563184400,READY,
