idx,pallet,yaw_deg,pitch_deg,roll_deg,R_orthonormal_err,det_R,euler_to_R_err,quat_to_R_err,R_to_euler_err_deg,reprojection_max_err_px,aabb_height_m,dim_height_m,level_err_m,cuboid_z_min_m,camera_azimuth_deg,G_all_pass
0,Pallet_2,32.7136,-175.1697,2.6149,1.1102230246251565e-16,1.0,2.0122792321330962e-16,2.220446049250313e-16,0.0,0.0,0.183688,0.183688,0.0,1e-06,122.806,True
1,Pallet_3,-16.8696,-15.3858,-175.4343,1.1920928510988915e-07,0.999999881,5.6858718955332677e-08,6.001034613678513e-08,0.0,0.0,0.152299,0.152299,0.0,0.0,-72.541,True
2,Pallet_1,26.533,-150.6318,14.1108,1.1102230246251565e-16,1.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.136294,0.136294,0.0,-0.006,119.81,True
3,Pallet_1,-74.1757,-161.8579,-17.4973,4.639337787127678e-17,1.0,1.1102230246251565e-16,1.6653345369377348e-16,0.0,0.0,0.136294,0.136294,0.0,-0.006,15.074,True
4,Pallet_2,43.8758,-80.6933,103.3028,1.1102230246251565e-16,1.0,7.220121416058975e-17,2.498001805406602e-16,0.0,0.0,0.183688,0.183688,0.0,-0.042174,-170.453,True
5,Pallet_0,-21.7702,-68.7974,-136.2866,3.3306690738754696e-16,1.0,3.1077786872895653e-16,2.220446049250313e-16,0.0,0.0,0.148782,0.148782,4.4e-08,-0.006,-42.164,True
6,Pallet_0,78.8468,167.7505,-12.0249,2.6935510615658467e-16,1.0,6.952209350465381e-16,3.0531133177191805e-16,0.0,0.0,0.148782,0.148782,4.5e-08,-0.006,169.095,True
7,Pallet_1,-70.1025,-148.9596,-29.5052,2.220446049250313e-16,1.0,2.735177994423949e-16,3.3306690738754696e-16,0.0,0.0,0.136294,0.136294,0.0,-0.006,17.23,True
8,Pallet_3,57.8856,-64.8969,118.9486,1.1920928466579994e-07,0.999999881,5.759763732626766e-08,8.895809411324507e-08,0.0,0.0,0.152299,0.152299,0.0,-1e-06,-165.089,True
9,Pallet_3,-65.9355,11.2446,169.7109,1.1920928466579994e-07,0.999999881,5.459710483712854e-08,8.49414626413747e-08,0.0,0.0,0.152299,0.152299,0.0,-0.006,-23.654,True
10,Pallet_2,17.9715,-167.6194,3.8746,2.078064804397412e-17,1.0,1.3877787807814457e-16,2.220446049250313e-16,0.0,0.0,0.183688,0.183688,0.0,-1e-06,108.371,True
11,Pallet_1,17.8248,-122.7734,25.4296,1.1102230246251565e-16,1.0,1.4907314848662183e-16,1.1102230246251565e-16,0.0,0.0,0.136294,0.136294,0.0,-0.006,120.71,True
12,Pallet_0,-51.6946,-101.2229,-75.8099,4.440892098500626e-16,1.0,4.3021142204224816e-16,2.220446049250313e-16,0.0,0.0,0.148782,0.148782,4.1e-08,-0.042174,8.74,True
13,Pallet_3,-43.2105,-48.9581,-141.8159,1.1920928488784455e-07,0.999999881,4.8853826206674e-08,6.955057046953428e-08,0.0,0.0,0.152299,0.152299,0.0,-0.006,-34.952,True
14,Pallet_0,-20.1978,-19.9474,-172.8577,3.3306690738754696e-16,1.0,6.158190883851653e-16,4.440892098500626e-16,0.0,0.0,0.148782,0.148782,4.5e-08,-0.006,-68.626,True
15,Pallet_3,46.8673,-4.5372,176.6857,1.1920928455477764e-07,0.999999881,4.356155414164675e-08,7.079864272618863e-08,0.0,0.0,0.152299,0.152299,0.0,-0.006,-136.957,True
16,Pallet_1,-18.1509,-178.5106,-0.4641,2.220446049250313e-16,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.136294,0.136294,0.0,-0.006,71.843,True
17,Pallet_3,-25.0954,-75.2648,-121.8032,1.1920928488784455e-07,0.999999881,5.237845968064647e-08,5.98218697356323e-08,0.0,0.0,0.152299,0.152299,0.0,-0.006,-28.506,True
18,Pallet_0,17.0535,-157.098,7.0625,3.3306690738754696e-16,1.0,6.106226635438361e-16,2.220446049250313e-16,0.0,0.0,0.148782,0.148782,4.4e-08,-0.006,108.418,True
19,Pallet_2,-22.1596,-170.1783,-3.7361,2.5149867729182063e-17,1.0,1.1102230246251565e-16,2.7755575615628914e-17,0.0,0.0,0.183688,0.183688,0.0,-0.006,67.543,True
