usable_slot,proposal_index,stage,primary_reject_reason,reject_reason,runtime_s,explicit_occluder_placed,explicit_solver_fail_reason
1400,1903,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,28.823633432388306,,bounded_local_search_exhausted
1400,1904,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1400,1905,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,62.09318256378174,,bounded_local_search_exhausted
1400,1906,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,28.137383460998535,,bounded_local_search_exhausted
1400,1907,solve,solve_reject:C1,solve_reject:C1,,,
1400,1908,render,usable_reject:rendered|usable_reject:realize_ok,usable_reject:rendered|usable_reject:realize_ok|usable_reject:mask_invariants_pass:unknown|usable_reject:ground_continuity_pass:unknown|usable_reject:no_corrupt_rgb:unknown|usable_reject:no_corrupt_mask:unknown|usable_reject:camera_distance_within_limit:unknown|usable_reject:mask_m0_non_empty:unknown|usable_reject:no_magenta:unknown|usable_reject:mask_pixel_inclusion:unknown|usable_reject:no_stale_cross_frame_mask:unknown|gate_fail:G1:unknown|gate_fail:G2:unknown|gate_fail:G3:unknown|gate_fail:G4:unknown|gate_fail:G5:unknown,46.42198634147644,,bounded_local_search_exhausted
1400,1909,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1400,1910,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1401,1912,mode_filter,proposal_skip:mode_requires_explicit_occluder,proposal_skip:mode_requires_explicit_occluder,,,
1402,1914,solve,solve_reject:d_occ_fail,solve_reject:d_occ_fail,,,
