axis,key,prescribed,accepted_frac,attempted_frac,accepted_n,abs_err_accepted,cap_related
scene_preset,indoor,0.25,0.25,0.25125,8948,0.0,0
scene_preset,outdoor-day,0.3,0.3000111756817166,0.2979,10738,1.1175681716601993e-05,0
scene_preset,outdoor-night,0.25,0.25,0.25135,8948,0.0,0
scene_preset,random-mix,0.2,0.1999888243182834,0.1995,7158,1.1175681716601993e-05,0
elev_bin,0,0.08,0.07998994188645507,0.07965,2863,1.0058113544930691e-05,0
elev_bin,1,0.18,0.18001229324988824,0.18105,6443,1.2293249888245539e-05,0
elev_bin,2,0.2,0.1999888243182834,0.1988,7158,1.1175681716601993e-05,0
elev_bin,3,0.2,0.2000167635225749,0.197525,7159,1.6763522574875234e-05,0
elev_bin,4,0.16,0.1599519445686187,0.1577,5725,4.8055431381310854e-05,0
elev_bin,5,0.1,0.10002235136343317,0.101475,3580,2.2351363433162352e-05,0
elev_bin,6,0.08,0.08001788109074653,0.0838,2864,1.7881090746532657e-05,0
azimuth_bin,0,0.08333333333333333,0.08334264640143049,0.081475,2983,9.313068097163701e-06,0
azimuth_bin,1,0.08333333333333333,0.08331470719713903,0.0863,2982,1.8626136194299647e-05,0
azimuth_bin,2,0.08333333333333333,0.08334264640143049,0.082925,2983,9.313068097163701e-06,0
azimuth_bin,3,0.08333333333333333,0.08334264640143049,0.081975,2983,9.313068097163701e-06,0
azimuth_bin,4,0.08333333333333333,0.08331470719713903,0.085775,2982,1.8626136194299647e-05,0
azimuth_bin,5,0.08333333333333333,0.08334264640143049,0.08135,2983,9.313068097163701e-06,0
azimuth_bin,6,0.08333333333333333,0.08334264640143049,0.082,2983,9.313068097163701e-06,0
azimuth_bin,7,0.08333333333333333,0.08331470719713903,0.08505,2982,1.8626136194299647e-05,0
azimuth_bin,8,0.08333333333333333,0.08334264640143049,0.08245,2983,9.313068097163701e-06,0
azimuth_bin,9,0.08333333333333333,0.08331470719713903,0.082575,2982,1.8626136194299647e-05,0
azimuth_bin,10,0.08333333333333333,0.08334264640143049,0.08665,2983,9.313068097163701e-06,0
azimuth_bin,11,0.08333333333333333,0.08334264640143049,0.081475,2983,9.313068097163701e-06,0
v_target,4,0.15,0.14997764863656682,0.15145,5368,2.235136343317623e-05,0
v_target,5,0.25,0.24997206079570855,0.249725,8947,2.793920429144947e-05,0
v_target,6,0.3,0.3000111756817166,0.29565,10738,1.1175681716601993e-05,0
v_target,7,0.2,0.19996088511399196,0.197675,7157,3.9114886008051464e-05,0
v_target,8,0.1,0.1000782297720161,0.1055,3582,7.822977201608905e-05,0
f_target_bin,0,0.4,0.40000558784085827,0.3926,14317,5.587840858245485e-06,0
f_target_bin,1,0.25,0.25,0.24795,8948,0.0,0
f_target_bin,2,0.2,0.1999888243182834,0.201425,7158,1.1175681716601993e-05,0
f_target_bin,3,0.15,0.1500055878408583,0.158025,5369,5.587840858300996e-06,0
aspect,4:3,0.5,0.5,0.482525,17896,0.0,0
aspect,16:9,0.25,0.25,0.276275,8948,0.0,0
aspect,3:2,0.15,0.1500055878408583,0.148,5369,5.587840858300996e-06,0
aspect,1:1,0.1,0.0999944121591417,0.0932,3579,5.587840858300996e-06,0
fx_mode,random,0.7,0.6999888243182835,0.71145,25054,1.117568171649097e-05,0
fx_mode,anchor,0.3,0.3000111756817166,0.28855,10738,1.1175681716601993e-05,0
cargo_on,0,0.5,0.5,0.50125,17896,0.0,0
cargo_on,1,0.5,0.5,0.49875,17896,0.0,0
proj_size_bin,0,0.2,0.1999888243182834,0.1798,7158,1.1175681716601993e-05,1
proj_size_bin,1,0.2,0.2000167635225749,0.1801,7159,1.6763522574875234e-05,1
proj_size_bin,2,0.2,0.1999888243182834,0.179825,7158,1.1175681716601993e-05,1
proj_size_bin,3,0.2,0.1999888243182834,0.1872,7158,1.1175681716601993e-05,1
proj_size_bin,4,0.2,0.2000167635225749,0.273075,7159,1.6763522574875234e-05,1
pallet_type,Pallet_0,0.25,0.25,0.250425,8948,0.0,0
pallet_type,Pallet_1,0.25,0.25,0.250325,8948,0.0,0
pallet_type,Pallet_2,0.25,0.25,0.24895,8948,0.0,0
pallet_type,Pallet_3,0.25,0.25,0.2503,8948,0.0,0
position_mode,near-pallet,0.6,0.6,0.5986170563055647,12885,0.0,0
position_mode,near-camera,0.4,0.4,0.4013829436944353,8590,0.0,0
