referenced_path,reference_file,line_number,reference_type,active_or_doc,path_exists_today,can_auto_update,risk,proposed_replacement,raw_line
data/pallet,config/synthetic/blender.yaml,20,config_value,active,yes,yes(config 1줄),MED(런타임 자산 로드 실패),(Stage2: paths registry key로 치환 — config/paths.yaml),"""base_dir"": ""data/pallet"","
data/pallet,scripts/data_prep/gen_surface_fps_v1.py,13,python_string_literal,active,yes,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OBJ = ""data/palletobj/pallet_full.obj"""
data/pallet,scripts/data_prep/blender/audit_pnp_eligibility.py,24,python_string_literal,active,yes,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),python scripts/data_prep/blender/audit_pnp_eligibility.py --dir data/pallet/<dataset>
data/pallet,scripts/data_prep/blender/gen_palletobj_v1.py,1,python_string_literal,active,yes,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"""""""Generate synthetic data for palletobj (data/palletobj/pallet_full.obj)."
data/pallet,scripts/data_prep/blender/run_addon_v1.sh,64,shell_command,active,yes,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"""${ROOT}/data/palletobj/pallet_full.obj"" \"
data/pallet,scripts/data_prep/blender/palletobj_fill/build_filled.py,15,python_string_literal,active,yes,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OBJ = r""E:/CODING/GitHub/FoundationPose/data/palletobj/pallet_full.obj"""
data/pallet,scripts/data_prep/blender/palletobj_fill/diagnose.py,4,python_string_literal,active,yes,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OBJ = r""E:/CODING/GitHub/FoundationPose/data/palletobj/pallet_full.obj"""
data/pallet,scripts/data_prep/blender/palletobj_fill/fill_test.py,6,python_string_literal,active,yes,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OBJ = r""E:/CODING/GitHub/FoundationPose/data/palletobj/pallet_full.obj"""
data/pallet,scripts/data_prep/blender/palletobj_fill/loop_locations.py,4,python_string_literal,active,yes,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OBJ = r""E:/CODING/GitHub/FoundationPose/data/palletobj/pallet_full.obj"""
data/pallet,scripts/data_prep/isaac_sim/run_iter_verification.sh,21,shell_command,active,yes,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"BASE_DIR=""data/pallet"""
data/pallet [Path/join 구성],scripts/data_prep/compute_distractor_fill_ratio.py,49,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"DISTRACTOR_DIR = os.path.join(PROJECT_ROOT, ""data"", ""pallet"", ""distractors"")"
data/pallet [Path/join 구성],scripts/data_prep/merge_and_validate.py,13,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"BASE_DIR = os.path.join(""data"", ""pallet"", ""training_data"")"
data/pallet [Path/join 구성],scripts/data_prep/merge_and_validate.py,14,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"TRAIN_DIRS = sorted([d for d in os.listdir(os.path.join(""data"", ""pallet"", ""training_data""))"
data/pallet [Path/join 구성],scripts/data_prep/merge_and_validate.py,16,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"and os.path.isdir(os.path.join(""data"", ""pallet"", ""training_data"", d))])"
data/pallet [Path/join 구성],scripts/data_prep/merge_and_validate.py,17,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"VAL_BATCH_DIRS = sorted([d for d in os.listdir(os.path.join(""data"", ""pallet"", ""training_data""))"
data/pallet [Path/join 구성],scripts/data_prep/merge_and_validate.py,19,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"and os.path.isdir(os.path.join(""data"", ""pallet"", ""training_data"", d))])"
data/pallet [Path/join 구성],scripts/data_prep/blender/audit_v2_dryrun.py,39,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"DEFAULT_OUT = os.path.join(_PROJECT_ROOT, ""data"", ""pallet"", ""v2_dryrun_audit"")"
data/pallet [Path/join 구성],scripts/data_prep/blender/blender_config.py,21,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"if not os.path.isdir(os.path.join(project_root, ""data"", ""pallet"")):"
data/pallet [Path/join 구성],scripts/data_prep/blender/blender_config.py,184,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"WOOD_TEXTURE_DIR = os.path.join(PROJECT_ROOT, ""data"", ""pallet"", ""textures_wood"")"
data/pallet [Path/join 구성],scripts/data_prep/blender/blender_config.py,196,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"FLOOR_TEXTURE_DIR = os.path.join(PROJECT_ROOT, ""data"", ""pallet"", ""textures_floor"")"
data/pallet [Path/join 구성],scripts/data_prep/blender/gen_preview10.py,202,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OUT_BASE = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_preview10"")"
data/pallet [Path/join 구성],scripts/data_prep/blender/gen_topview_test.py,186,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OUT_BASE = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_test_topview"")"
data/pallet [Path/join 구성],scripts/data_prep/blender/_gen_wood_random_samples.py,32,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OUT_BASE = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_wood_skin_compare"", ""random_applied"")"
data/pallet [Path/join 구성],scripts/data_prep/blender/_make_floor_uv_sheet.py,10,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OUT = os.path.join(""data"", ""pallet"", ""_floor_uv_test"")"
data/pallet [Path/join 구성],scripts/data_prep/blender/_render_floor_applied14.py,39,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OUT_DIR = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_floor_applied14"")"
data/pallet [Path/join 구성],scripts/data_prep/blender/_render_floor_applied14.py,41,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"FLOOR_TEX_DIR = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""textures_floor"")"
data/pallet [Path/join 구성],scripts/data_prep/blender/_render_floor_compare.py,37,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OUT_DIR = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_floor_compare"")"
data/pallet [Path/join 구성],scripts/data_prep/blender/_render_floor_compare.py,39,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"FLOOR_TEX_DIR = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""textures_floor"")"
data/pallet [Path/join 구성],scripts/data_prep/blender/_render_floor_fix_test.py,31,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OUT = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_floor_fix_test"")"
data/pallet [Path/join 구성],scripts/data_prep/blender/_render_floor_uv_compare.py,31,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OUT = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_floor_uv_test"")"
data/pallet [Path/join 구성],scripts/data_prep/blender/_render_material_compare.py,29,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OUT_DIR = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_material_compare"")"
data/pallet [Path/join 구성],scripts/data_prep/blender/_render_plastic_closeup.py,31,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OUT_DIR = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_mat_test10e"", ""closeup"")"
data/pallet [Path/join 구성],scripts/data_prep/blender/_render_wood_closeup.py,29,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OUT_DIR = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_mat_test10b"", ""closeup"")"
data/pallet [Path/join 구성],scripts/data_prep/blender/_render_wood_skin_compare.py,29,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"OUT_DIR = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_wood_skin_compare"")"
data/pallet [Path/join 구성],scripts/data_prep/isaac_sim/debug_pallet_orientation.py,10,python_path_join,active,pattern,yes(코드 수정 필요),MED,(Stage2: paths registry key로 치환 — config/paths.yaml),"USD_DIR = os.path.join(PROJECT_ROOT, ""data"", ""pallet"", ""models_usd"")"
