rank,usable_id,frame_id,azimuth_deg,elevation_deg,camera_distance_m,projected_size_actual,diagnostic_mode,selection_rule
0,93,f0093,130.9333560891413,6.395218442990806,1.519051005912279,1.187932430778282,controlled-occlusion,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
1,21,f0021,58.3434920657911,77.54056256549963,9.561196021371961,0.12912558050344725,cargo-only,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
2,147,f0147,270.9915352264584,8.613213436813743,4.369997150637469,0.10377773540793625,cargo-only,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
3,18,f0018,358.6504747199834,67.34946480491936,1.5042437479497899,0.9497578088124007,context-rich,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
4,205,f0205,98.10693004447614,7.147511430302463,9.784887578707329,0.10570826852841755,controlled-occlusion,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
5,126,f0126,185.602467650279,51.470428256422316,1.9515068328156622,0.4602509602622354,clean-static,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
6,99,f0099,44.80495379295513,2.957759658234133,1.7286646200564786,0.507440803059757,controlled-occlusion,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
7,282,f0282,276.3484746372462,53.58241100574085,9.950905239504923,0.10911068538201302,context-rich,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
8,82,f0082,308.8268449244782,6.396877391637042,1.6898601884492703,0.9850551476899823,context-rich,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
9,167,f0167,330.4866764643533,70.48894411899775,3.608676069825737,0.24437679145565078,cargo-only,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
10,35,f0035,63.53552210708969,39.46635613117492,5.069337687880635,0.16289469849544885,controlled-occlusion,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
11,163,f0163,156.65315479053118,2.4455817053578155,4.294260389328423,0.30546955952132215,controlled-occlusion,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
