usable_id,frame_id,luma_frame_final,luma_pallet_final,pallet_type,scene_preset,background_asset,floor_mode,noise_tier,diagnostic_mode,projected_size_actual,dim_w_m,dim_d_m,dim_h_m
0,f0000,27.8700008392334,20.59000015258789,Pallet_0,random-mix,parking_lot,plane,clean,clean-static,0.3435656423608599,0.9446941671631076,1.13363300526362,0.14170413510873914
1,f0001,83.73999786376953,53.2599983215332,Pallet_2,indoor,parking_lot,plane,clean,cargo-only,0.18617153648017853,1.2101531028747559,1.028915286064148,0.1886621443554759
2,f0002,72.7699966430664,70.87000274658203,Pallet_1,outdoor-day,parking_lot,plane,medium,context-rich,0.11885516058195753,1.176784873008728,0.9781243801116943,0.13453084463253617
3,f0003,97.08999633789062,58.38999938964844,Pallet_3,outdoor-night,parking_lot,plane,clean,controlled-occlusion,0.5665725418326082,1.237887024879457,0.826378345489502,0.1486040079034865
4,f0004,85.2699966430664,54.90999984741211,Pallet_1,outdoor-night,parking_lot,native,clean,context-rich,0.31803032011284443,1.1719609498977661,0.9741147756576538,0.13397937268018723
5,f0005,89.2300033569336,73.73999786376953,Pallet_2,outdoor-night,industrial,plane,clean,controlled-occlusion,0.24993466950394175,1.370859146118164,1.1655540466308594,0.2137161660939455
6,f0006,37.83000183105469,37.22999954223633,Pallet_1,indoor,parking_lot,plane,clean,clean-static,0.28221582483764424,1.0831886529922485,1.3031880855560303,0.1489813500083983
7,f0007,16.18000030517578,13.300000190734863,Pallet_0,outdoor-day,parking_lot,native,medium,cargo-only,0.12362397799628297,1.0886840820312524,1.3064202666282654,0.16330253332853317
8,f0008,107.47000122070312,104.41999816894531,Pallet_3,outdoor-day,parking_lot,plane,clean,context-rich,0.908897112348789,0.8404738903045654,1.2590016126632704,0.15113875549286604
9,f0009,40.36000061035156,20.81999969482422,Pallet_0,outdoor-day,parking_lot,plane,clean,controlled-occlusion,0.11885103543440803,0.96373871031392,1.156486530002441,0.14456081669777632
10,f0010,36.5099983215332,38.61000061035156,Pallet_3,outdoor-night,industrial,plane,clean,clean-static,0.3542305295373325,0.9184579849243164,1.375819206237793,0.16516225272789598
11,f0011,45.70000076293945,21.739999771118164,Pallet_1,outdoor-day,parking_lot,plane,medium,cargo-only,0.09194336195434279,1.1410393714904785,0.9484133720397949,0.13044440234079957
12,f0012,45.0099983215332,35.33000183105469,Pallet_2,indoor,parking_lot,plane,clean,context-rich,0.18241295771485405,1.2032434344291687,1.0230403542518616,0.18758492544293404
13,f0013,45.209999084472656,31.09000015258789,Pallet_3,outdoor-day,industrial,plane,clean,controlled-occlusion,0.3300496712023322,1.2527217864990234,0.8362817764282227,0.1503848759457469
14,f0014,51.560001373291016,22.399999618530273,Pallet_0,random-mix,parking_lot,plane,low,context-rich,0.6239140448853722,1.144074211268163,0.9533951427729346,0.14300928078591837
15,f0015,124.38999938964844,72.43000030517578,Pallet_0,outdoor-night,parking_lot,plane,low,controlled-occlusion,0.10040087118466641,1.2044906856935995,1.0037421445740635,0.15056134946644306
16,f0016,88.98999786376953,38.5,Pallet_3,random-mix,parking_lot,plane,clean,clean-static,0.5659417362719559,1.061328887939455,0.7085132002830505,0.12740883510559797
17,f0017,98.18000030517578,25.260000228881836,Pallet_0,outdoor-night,parking_lot,plane,clean,cargo-only,0.12260261690894025,1.0429837140836762,1.251580409531016,0.15644756238907576
18,f0018,22.899999618530273,20.59000015258789,Pallet_1,indoor,industrial,plane,clean,context-rich,0.9497578088124007,1.2214908599853516,1.0152826309204102,0.13964164536446333
19,f0019,106.33000183105469,46.790000915527344,Pallet_1,outdoor-night,industrial,plane,clean,controlled-occlusion,0.11101490342195662,1.0951147079467773,1.3175368309020996,0.15062170010060072
20,f0020,82.66000366210938,72.2300033569336,Pallet_2,random-mix,industrial,plane,medium,clean-static,0.6825745542141453,1.1344118118286133,0.9645171165466309,0.17685412149876356
21,f0021,84.51000213623047,54.630001068115234,Pallet_3,outdoor-day,industrial,plane,clean,cargo-only,0.12912558050344725,0.8898420333862305,1.332953929901123,0.16001643519848585
22,f0022,67.69999694824219,55.13999938964844,Pallet_2,indoor,industrial,plane,clean,context-rich,0.18585906965178883,1.2958641052246094,1.101790428161621,0.20202443189918995
